1927;1653;1947;1851;2026;1975;2005;1975;1803;1904;1919;1927;1944;1994;1946;1841;1958;1970;1923;1894;1967;1996;1946;1844;1841;1797;1900;1955;1853;1892;2008;2063;1967;2031;2088;1907;1933;2093;1887;2071;1988;2091;1989;1720;1969;1969;2075;1863;1930;2099;2264;2948;2376;2233;2414;2100;2244;2252;2141;2258;1944;2145;2114;2298;2165;2123;2137;2077;2226;2147;2089;1959;1956;2207;2165;2041;1881;1895;1994;2278;2407;2410;2366;2274;2447;2324;2265;2505;2374;2454;2303;2395;2431;2454;2343;2436;2357;2306;2246;2285
6575;6674;6590;6721;6669;6752;6730;6774;6507;6923;6546;6438;6465;6659;6517;6426;6549;6346;6469;6494;6353;6294;6834;6510;6493;6284;6575;6471;6084;6104;6577;6468;6577;6467;6423;6660;6944;6352;6302;6585;6630;6508;6577;6719;6718;6517;6432;6515;6362;6416;6600;6436;6676;6426;6795;6128;6623;6785;6802;6606;6696;6550;6664;6738;6538;6818;6779;6584;6639;6400;6614;6782;6536;6542;6617;6667;6403;6313;6702;6859;6471;6519;6731;6392;6410;6365;6618;6564;6512;6631;6512;6625;6451;6487;6410;6502;6492;6728;6288;6604
12780;12874;12784;12884;12928;12942;12885;12959;12931;12854;12832;13278;14872;13060;12819;13173;13001;13084;12916;13077;12763;13007;13277;12937;12646;12760;13042;12988;12797;13366;12887;12921;13093;12953;12914;13177;12915;12889;12468;12867;12854;12786;13445;12836;13110;12968;12890;12745;12826;12891;13136;13334;12594;13144;13078;12705;12993;12515;12695;12895;13340;12753;12828;12942;12668;12559;13140;12706;12730;12942;13164;12578;12832;12901;12741;12955;12792;12735;13089;12940;12712;12848;13166;12504;13103;12823;13175;12744;12792;13078;13099;13027;12713;12844;12732;12913;13199;12804;12702;12799
21398;21712;21421;19026;18324;19557;19023;19121;19348;18767;18775;19037;19100;19147;18795;19294;18837;18997;18496;18566;19248;18360;19445;19741;18674;18982;19456;18637;18694;18795;18490;19483;19303;19008;17677;18048;18190;17549;17198;17977;17714;17705;17979;17582;17757;17869;18293;18954;18674;18902;18415;19180;18917;18978;19094;18627;18973;18456;17971;18965;18767;17705;18060;17709;18016;18393;17681;18386;18099;18438;17945;18978;18661;18499;19233;19023;18847;18743;18517;18573;18681;17944;17645;17661;17599;17991;17750;17384;17869;17810;17749;18055;17790;17456;17833;18015;17881;17633;17829;18250
26551;27664;28410;27810;28140;28720;28206;28248;28799;28424;28002;28392;27017;26707;26866;26434;26434;26688;26844;27985;27921;28032;28883;27158;26672;26560;26440;26583;26403;26393;27050;26168;26893;26647;26672;26866;27192;26513;26963;27092;28934;28808;28145;28110;28040;28053;28463;28202;27845;28366;29020;26413;26211;26541;26852;26136;26519;26520;26780;26853;27037;26477;27637;27000;27039;26382;26430;27063;26679;27364;28663;27807;28057;27995;28224;27972;28398;26450;26951;26790;27423;26466;26950;26879;27817;28649;28773;28425;28604;29034;28704;28114;28222;28485;28024;28788;28745;27884;27275;26501
37004;36906;36780;37319;38727;39226;39508;39276;39866;39488;39415;37853;39846;37791;36800;37087;36536;37581;37693;37091;37587;40009;39458;38819;36996;36904;37832;37210;37344;39391;39565;38836;39550;39755;39784;38914;38454;38743;39217;38945;37921;39949;37971;38863;39209;39184;39332;39359;37639;37053;38010;37788;36864;37665;36693;37355;37284;37113;38847;39464;39757;39778;37575;37844;39231;39648;39405;39843;36984;37186;37429;37266;37122;36871;37465;37099;36864;36812;36852;37507;38964;39339;39358;39585;39489;38436;38864;39112;39060;38345;36962;38977;37721;36543;39326;39138;38612;38684;39368;39363
52284;51316;50076;49667;51128;52070;49767;49148;49626;49274;49652;49327;49292;51237;51364;51739;51328;50883;50961;51824;52069;51612;50509;51870;52207;51646;52009;51954;52319;52693;51315;50282;51911;52798;52047;49260;51965;51987;51117;52440;52318;51625;51290;51636;52031;51917;49512;50070;48976;49105;49475;50628;51987;52717;52113;51263;52343;52075;52494;50897;49538;51690;51976;51775;51726;49204;49820;51765;51765;51680;49396;49069;49122;48792;45995;47139;45504;45529;44894;45268;45806;47036;46656;45343;46179;45521;45830;46432;45839;47210;44822;45723;47166;46722;46945;45222;45585;46180;45630;45756
3677;3700;3832;3690;3829;3604;3570;3544;3682;3715;3613;3866;3737;3405;3491;3529;3757;3721;3549;3622;3861;3624;3951;3636;3703;3446;3527;3402;3367;3596;3654;3785;3796;3450;3625;3770;3471;3506;3589;3658;3684;3739;3662;3754;3881;3523;3831;3752;3527;3632;3647;3730;3505;3783;3608;3668;3777;3591;3723;3540;3784;3461;4010;3547;3449;3648;3534;3785;3592;3849;3638;3629;3641;3615;3630;3874;3847;4062;3931;3683;3719;3661;3496;3754;3813;3849;3912;3786;3711;3943;3584;3703;3837;3780;3870;3761;3815;3578;3503;3601
10269;9534;10108;10344;10175;10169;10307;10031;10384;10256;10208;10301;10335;10236;10158;10385;10179;10050;10200;10488;10260;10449;9802;10316;10623;10281;10408;10294;10132;10636;10582;10269;10414;9926;9996;9788;10368;10245;10177;9964;10136;10073;9667;10306;10051;10532;10154;10243;10538;10627;10532;10616;10553;10490;10062;10253;10009;10079;10380;10331;10192;10580;10554;10717;10601;10454;10513;10333;10163;10423;10801;10685;10342;10674;10022;10550;10085;10017;10331;10177;9847;10234;10496;10238;10259;10499;10240;10033;10107;9891;10348;9821;10309;10312;10656;10819;10578;10306;10526;10439
20469;20319;20343;20187;20144;20485;20459;20587;20336;19700;19896;19760;19697;20124;19793;20235;20428;20137;20151;19606;20104;19664;20209;20060;20014;19528;20020;19455;20112;20176;20480;19709;19802;19996;19747;19948;19922;20171;19879;19199;20600;20373;20270;20273;19900;20322;20483;20000;20126;20347;20494;20547;20530;19989;19380;20010;20363;19686;20082;19916;19953;19606;19773;19638;19836;20651;19790;19741;20270;20279;20551;20452;20700;19863;20335;20667;19940;19913;20116;20248;20415;19784;19919;20368;19776;19972;19791;20097;19535;19878;19450;19635;20074;20149;19349;19655;19858;20019;20018;19567
